NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/dante-pettis-1.html,*2014,Washington,Pac-12,FR,WR,13.0,17.0,259.0,15.2,1.0,0.0,0.0,,0.0,17.0,259.0,15.2,1.0,28.0,288.0,10.3,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dante-pettis-1.html,*2015,Washington,Pac-12,SO,WR,13.0,30.0,414.0,13.8,1.0,1.0,-8.0,-8.0,0.0,31.0,406.0,13.1,1.0,16.0,271.0,16.9,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dante-pettis-1.html,*2016,Washington,Pac-12,JR,WR,13.0,53.0,822.0,15.5,15.0,0.0,0.0,,0.0,53.0,822.0,15.5,15.0,25.0,287.0,11.5,2.0,0.0,0.0,,0.0,2.0,4.0,50.0,89.0,22.3,27.3,1.0,0.0,319.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dante-pettis-1.html,*2017,Washington,Pac-12,SR,WR,13.0,63.0,761.0,12.1,7.0,3.0,50.0,16.7,0.0,66.0,811.0,12.3,7.0,21.0,428.0,20.4,4.0,0.0,0.0,,0.0,1.0,1.0,100.0,36.0,36.0,36.0,0.0,0.0,402.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dante-pettis-1.html,Career,Washington,,,,,163.0,2256.0,13.8,24.0,4.0,42.0,10.5,0.0,167.0,2298.0,13.8,24.0,90.0,1274.0,14.2,9.0,0.0,0.0,,0.0,3.0,5.0,60.0,125.0,25.0,29.0,1.0,0.0,336.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kemoko-turay-1.html,*2014,Rutgers,Big Ten,FR,DE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,9.0,24.0,8.0,7.5,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kemoko-turay-1.html,2015,Rutgers,Big Ten,SO,DE,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,26.0,1.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kemoko-turay-1.html,2016,Rutgers,Big Ten,SR,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kemoko-turay-1.html,2017,Rutgers,Big Ten,SR,DL,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,28.0,60.0,6.0,3.0,0.0,0.0,,0.0,1.0,2.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kemoko-turay-1.html,Career,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,38.0,96.0,19.0,14.5,1.0,0.0,0.0,0.0,4.0,2.0,26.0,1.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-adams-2.html,*2015,Notre Dame,Ind,FR,RB,12.0,7.0,42.0,6.0,1.0,116.0,838.0,7.2,6.0,123.0,880.0,7.2,7.0,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-adams-2.html,2016,Notre Dame,Ind,SO,RB,12.0,21.0,193.0,9.2,1.0,158.0,933.0,5.9,5.0,179.0,1126.0,6.3,6.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-adams-2.html,*2017,Notre Dame,Ind,JR,RB,13.0,13.0,101.0,7.8,0.0,206.0,1430.0,6.9,9.0,219.0,1531.0,7.0,9.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-adams-2.html,Career,Notre Dame,,,,,41.0,336.0,8.2,2.0,480.0,3201.0,6.7,20.0,521.0,3537.0,6.8,22.0,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jordan-akins-1.html,*2014,UCF,American,FR,WR,10.0,12.0,135.0,11.3,0.0,0.0,0.0,,0.0,12.0,135.0,11.3,0.0,0.0,0.0,,0.0,15.0,363.0,24.2,0.0,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jordan-akins-1.html,2015,UCF,American,SO,WR,3.0,14.0,152.0,10.9,2.0,0.0,0.0,,0.0,14.0,152.0,10.9,2.0,2.0,15.0,7.5,0.0,6.0,149.0,24.8,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jordan-akins-1.html,*2016,UCF,American,SO,TE,10.0,23.0,347.0,15.1,2.0,0.0,0.0,,0.0,23.0,347.0,15.1,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jordan-akins-1.html,*2017,UCF,American,SR,TE,11.0,32.0,515.0,16.1,4.0,0.0,0.0,,0.0,32.0,515.0,16.1,4.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jordan-akins-1.html,Career,UCF,,,,,81.0,1149.0,14.2,8.0,0.0,0.0,,0.0,81.0,1149.0,14.2,8.0,2.0,15.0,7.5,0.0,21.0,512.0,24.4,0.0,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jaire-alexander-1.html,*2015,Louisville,ACC,FR,CB,10.0,,,,,,,,,,,,,23.0,223.0,9.7,0.0,0.0,0.0,,0.0,,,,,,,,,,14.0,5.0,19.0,0.0,0.0,1.0,5.0,5.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jaire-alexander-1.html,*2016,Louisville,ACC,SO,CB,13.0,,,,,,,,,,,,,19.0,195.0,10.3,1.0,1.0,14.0,14.0,0.0,,,,,,,,,,31.0,8.0,39.0,1.0,0.0,5.0,37.0,7.4,0.0,9.0,1.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jaire-alexander-1.html,*2017,Louisville,ACC,JR,CB,6.0,,,,,,,,,,,,,1.0,6.0,6.0,0.0,0.0,0.0,,0.0,,,,,,,,,,13.0,6.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jaire-alexander-1.html,Career,Louisville,,,,,,,,,,,,,,,,,43.0,424.0,9.9,1.0,1.0,14.0,14.0,0.0,,,,,,,,,,58.0,19.0,77.0,2.0,0.0,7.0,42.0,6.0,0.0,15.0,1.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/austin-allen-1.html,*2014,Arkansas,SEC,SO,QB,4.0,0.0,0.0,,0.0,7.0,4.0,0.6,1.0,7.0,4.0,0.6,1.0,,,,,,,,,8.0,16.0,50.0,153.0,9.6,6.8,0.0,1.0,117.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/austin-allen-1.html,*2015,Arkansas,SEC,SO,QB,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,1.0,3.0,33.3,35.0,11.7,18.3,1.0,0.0,241.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/austin-allen-1.html,*2016,Arkansas,SEC,JR,QB,13.0,0.0,0.0,,0.0,65.0,-126.0,-1.9,2.0,65.0,-126.0,-1.9,2.0,,,,,,,,,245.0,401.0,61.1,3430.0,8.6,8.1,25.0,15.0,146.0,1.0,7.0,8.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/austin-allen-1.html,2017,Arkansas,SEC,SR,QB,8.0,0.0,0.0,,0.0,37.0,-20.0,-0.5,1.0,37.0,-20.0,-0.5,1.0,,,,,,,,,105.0,187.0,56.1,1427.0,7.6,7.5,10.0,5.0,132.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/austin-allen-1.html,Career,Arkansas,,,,,0.0,0.0,,0.0,109.0,-142.0,-1.3,4.0,109.0,-142.0,-1.3,4.0,,,,,,,,,359.0,607.0,59.1,5045.0,8.3,7.9,36.0,21.0,141.6,2.0,7.0,9.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-8.html,*2015,Michigan State,Big Ten,SO,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-8.html,Career,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-allen-7.html,2015,Wyoming,MWC,SO,QB,2.0,0.0,0.0,,0.0,3.0,40.0,13.3,0.0,3.0,40.0,13.3,0.0,,,,,,,,,4.0,6.0,66.7,51.0,8.5,8.5,0.0,0.0,138.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-allen-7.html,*2016,Wyoming,MWC,SO,QB,14.0,1.0,4.0,4.0,1.0,142.0,523.0,3.7,7.0,143.0,527.0,3.7,8.0,,,,,,,,,209.0,373.0,56.0,3203.0,8.6,8.3,28.0,15.0,144.9,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-allen-7.html,*2017,Wyoming,MWC,JR,QB,11.0,1.0,2.0,2.0,0.0,92.0,204.0,2.2,5.0,93.0,206.0,2.2,5.0,,,,,,,,,152.0,270.0,56.3,1812.0,6.7,6.9,16.0,6.0,127.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-allen-7.html,Career,Wyoming,,,,,2.0,6.0,3.0,1.0,237.0,767.0,3.2,12.0,239.0,773.0,3.2,13.0,,,,,,,,,365.0,649.0,56.2,5066.0,7.8,7.7,44.0,21.0,137.7,3.0,1.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-allen-5.html,*2014,Penn State,Big Ten,FR,S,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,23.0,58.0,2.0,1.0,0.0,0.0,,0.0,3.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-allen-5.html,*2015,Penn State,Big Ten,SO,S,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,37.0,81.0,5.0,1.0,0.0,0.0,,0.0,2.0,1.0,,,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-allen-5.html,*2016,Penn State,Big Ten,JR,S,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,53.0,110.0,6.0,0.0,0.0,0.0,,0.0,3.0,1.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-allen-5.html,*2017,Penn State,Big Ten,SR,S,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,26.0,71.0,4.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,,,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-allen-5.html,Career,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,139.0,320.0,17.0,3.0,1.0,50.0,50.0,0.0,10.0,2.0,,,5.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-andrews-1.html,*2015,Oklahoma,Big 12,FR,TE,9.0,19.0,318.0,16.7,7.0,0.0,0.0,,0.0,19.0,318.0,16.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-andrews-1.html,*2016,Oklahoma,Big 12,SO,WR,12.0,31.0,489.0,15.8,7.0,0.0,0.0,,0.0,31.0,489.0,15.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-andrews-1.html,*2017,Oklahoma,Big 12,JR,TE,14.0,62.0,958.0,15.5,8.0,0.0,0.0,,0.0,62.0,958.0,15.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-andrews-1.html,Career,Oklahoma,,,,,112.0,1765.0,15.8,22.0,0.0,0.0,,0.0,112.0,1765.0,15.8,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tony-apke-1.html,*2017,Penn State,Big Ten,SR,S,13.0,,,,,,,,,,,,,1.0,3.0,3.0,0.0,0.0,0.0,,0.0,,,,,,,,,,37.0,17.0,54.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tony-apke-1.html,Career,Penn State,,,,,,,,,,,,,,,,,1.0,3.0,3.0,0.0,0.0,0.0,,0.0,,,,,,,,,,37.0,17.0,54.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ade-aruna-1.html,2014,Tulane,American,FR,DE,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,7.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ade-aruna-1.html,2015,Tulane,American,SO,DE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,8.0,32.0,5.0,3.0,0.0,0.0,,0.0,2.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ade-aruna-1.html,2016,Tulane,American,JR,DE,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,17.0,43.0,10.0,5.0,0.0,0.0,,0.0,0.0,2.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ade-aruna-1.html,2017,Tulane,American,SR,DE,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,25.0,3.0,2.0,0.0,0.0,,0.0,2.0,1.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ade-aruna-1.html,Career,Tulane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,36.0,107.0,19.0,11.0,0.0,0.0,,0.0,4.0,3.0,,,3.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcell-ateman-1.html,*2013,Oklahoma State,Big 12,FR,WR,10.0,22.0,276.0,12.5,0.0,0.0,0.0,,0.0,22.0,276.0,12.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcell-ateman-1.html,*2014,Oklahoma State,Big 12,SO,WR,8.0,20.0,268.0,13.4,0.0,0.0,0.0,,0.0,20.0,268.0,13.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcell-ateman-1.html,*2015,Oklahoma State,Big 12,JR,WR,12.0,45.0,766.0,17.0,5.0,1.0,1.0,1.0,0.0,46.0,767.0,16.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcell-ateman-1.html,*2017,Oklahoma State,Big 12,SR,WR,13.0,59.0,1156.0,19.6,8.0,0.0,0.0,,0.0,59.0,1156.0,19.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcell-ateman-1.html,Career,Oklahoma State,,,,,146.0,2466.0,16.9,13.0,1.0,1.0,1.0,0.0,147.0,2467.0,16.8,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/john-atkins-1.html,*2014,Georgia,SEC,FR,DT,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,9.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/john-atkins-1.html,*2015,Georgia,SEC,SO,G,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,12.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/john-atkins-1.html,*2016,Georgia,SEC,JR,NT,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,15.0,22.0,1.5,0.0,0.0,0.0,,0.0,2.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/john-atkins-1.html,*2017,Georgia,SEC,SR,NT,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,21.0,38.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/john-atkins-1.html,Career,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,51.0,81.0,3.5,0.0,0.0,0.0,,0.0,5.0,1.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-averett-1.html,*2015,Alabama,SEC,SO,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-averett-1.html,*2016,Alabama,SEC,JR,DB,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,9.0,48.0,3.0,1.0,0.0,0.0,,0.0,8.0,0.0,,,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-averett-1.html,*2017,Alabama,SEC,SR,DB,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,17.0,48.0,4.0,1.0,1.0,30.0,30.0,0.0,8.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-averett-1.html,Career,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,27.0,98.0,7.0,2.0,1.0,30.0,30.0,0.0,16.0,0.0,,,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/genard-avery-1.html,*2014,Memphis,American,FR,LB,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,18.0,6.0,5.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/genard-avery-1.html,*2015,Memphis,American,SO,LB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,11.0,53.0,6.5,3.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/genard-avery-1.html,*2016,Memphis,American,JR,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,18.0,79.0,10.0,5.0,2.0,51.0,25.5,2.0,2.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/genard-avery-1.html,*2017,Memphis,American,SR,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,28.0,80.0,22.0,8.5,0.0,0.0,,0.0,2.0,1.0,,,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/genard-avery-1.html,Career,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,62.0,230.0,44.5,21.5,2.0,51.0,25.5,2.0,5.0,1.0,,,3.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerome-baker-1.html,*2015,Ohio State,Big Ten,FR,LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerome-baker-1.html,*2016,Ohio State,Big Ten,SO,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,38.0,83.0,9.5,3.5,2.0,90.0,45.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerome-baker-1.html,*2017,Ohio State,Big Ten,JR,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,30.0,72.0,8.0,3.5,0.0,0.0,,0.0,3.0,2.0,,1.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerome-baker-1.html,Career,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,69.0,159.0,17.5,7.0,2.0,90.0,45.0,1.0,4.0,3.0,,1.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kalen-ballage-1.html,*2014,Arizona State,Pac-12,FR,RB,11.0,6.0,64.0,10.7,1.0,42.0,126.0,3.0,3.0,48.0,190.0,4.0,4.0,0.0,0.0,,0.0,6.0,187.0,31.2,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kalen-ballage-1.html,*2015,Arizona State,Pac-12,SO,RB,10.0,12.0,60.0,5.0,0.0,125.0,653.0,5.2,4.0,137.0,713.0,5.2,4.0,0.0,0.0,,0.0,3.0,26.0,8.7,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kalen-ballage-1.html,2016,Arizona State,Pac-12,JR,RB,12.0,44.0,469.0,10.7,1.0,126.0,536.0,4.3,14.0,170.0,1005.0,5.9,15.0,1.0,-6.0,-6.0,0.0,18.0,409.0,22.7,0.0,3.0,4.0,75.0,30.0,7.5,12.5,1.0,0.0,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kalen-ballage-1.html,*2017,Arizona State,Pac-12,SR,RB,13.0,20.0,91.0,4.6,0.0,157.0,669.0,4.3,6.0,177.0,760.0,4.3,6.0,0.0,0.0,,0.0,21.0,437.0,20.8,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kalen-ballage-1.html,Career,Arizona State,,,,,82.0,684.0,8.3,2.0,450.0,1984.0,4.4,27.0,532.0,2668.0,5.0,29.0,1.0,-6.0,-6.0,0.0,48.0,1059.0,22.1,0.0,3.0,4.0,75.0,30.0,7.5,12.5,1.0,0.0,220.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/saquon-barkley-1.html,*2015,Penn State,Big Ten,FR,RB,11.0,20.0,161.0,8.1,1.0,182.0,1076.0,5.9,7.0,202.0,1237.0,6.1,8.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/saquon-barkley-1.html,*2016,Penn State,Big Ten,SO,RB,14.0,28.0,402.0,14.4,4.0,272.0,1496.0,5.5,18.0,300.0,1898.0,6.3,22.0,0.0,0.0,,0.0,3.0,74.0,24.7,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/saquon-barkley-1.html,*2017,Penn State,Big Ten,JR,RB,13.0,54.0,632.0,11.7,3.0,217.0,1271.0,5.9,18.0,271.0,1903.0,7.0,21.0,0.0,0.0,,0.0,15.0,426.0,28.4,2.0,2.0,2.0,100.0,36.0,18.0,28.0,1.0,0.0,416.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/saquon-barkley-1.html,Career,Penn State,,,,,102.0,1195.0,11.7,8.0,671.0,3843.0,5.7,43.0,773.0,5038.0,6.5,51.0,0.0,0.0,,0.0,18.0,500.0,27.8,2.0,2.0,2.0,100.0,36.0,18.0,28.0,1.0,0.0,416.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
