NCAA_Link,Year,School,Conf,Class,Pos,G,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/ameer-abdullah-1.html,*2011,Nebraska,Big Ten,FR,RB,13.0,42.0,150.0,3.6,3.0,1.0,11.0,11.0,0.0,43.0,161.0,3.7,3.0,26.0,763.0,29.3,1.0,15.0,107.0,7.1,0.0,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ameer-abdullah-1.html,*2012,Nebraska,Big Ten,SO,RB,14.0,226.0,1137.0,5.0,8.0,24.0,178.0,7.4,2.0,250.0,1315.0,5.3,10.0,17.0,360.0,21.2,0.0,16.0,209.0,13.1,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ameer-abdullah-1.html,*2013,Nebraska,Big Ten,JR,RB,13.0,281.0,1690.0,6.0,9.0,26.0,232.0,8.9,2.0,307.0,1922.0,6.3,11.0,4.0,77.0,19.3,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ameer-abdullah-1.html,2014,Nebraska,Big Ten,SR,RB,13.0,264.0,1611.0,6.1,19.0,22.0,269.0,12.2,3.0,286.0,1880.0,6.6,22.0,14.0,392.0,28.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ameer-abdullah-1.html,Career,Nebraska,,,,,813.0,4588.0,5.6,39.0,73.0,690.0,9.5,7.0,886.0,5278.0,6.0,46.0,61.0,1592.0,26.1,1.0,31.0,316.0,10.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nelson-agholor-1.html,*2012,USC,Pac-12,FR,WR,13.0,1.0,7.0,7.0,0.0,18.0,341.0,18.9,2.0,19.0,348.0,18.3,2.0,5.0,121.0,24.2,0.0,,,,,,,,,,,,,,2.0,2.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nelson-agholor-1.html,*2013,USC,Pac-12,SO,WR,14.0,2.0,8.0,4.0,0.0,56.0,918.0,16.4,6.0,58.0,926.0,16.0,6.0,10.0,175.0,17.5,0.0,18.0,343.0,19.1,2.0,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nelson-agholor-1.html,*2014,USC,Pac-12,JR,WR,13.0,4.0,3.0,0.8,0.0,104.0,1313.0,12.6,12.0,108.0,1316.0,12.2,12.0,9.0,147.0,16.3,0.0,19.0,197.0,10.4,2.0,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nelson-agholor-1.html,Career,USC,,,,,7.0,18.0,2.6,0.0,178.0,2572.0,14.4,20.0,185.0,2590.0,14.0,20.0,24.0,443.0,18.5,0.0,37.0,540.0,14.6,4.0,,,,,,,,,,4.0,2.0,6.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jay-ajayi-1.html,*2012,Boise State,MWC,FR,RB,11.0,82.0,548.0,6.7,4.0,1.0,14.0,14.0,0.0,83.0,562.0,6.8,4.0,1.0,16.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jay-ajayi-1.html,*2013,Boise State,MWC,SO,RB,13.0,249.0,1425.0,5.7,18.0,22.0,222.0,10.1,1.0,271.0,1647.0,6.1,19.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jay-ajayi-1.html,*2014,Boise State,MWC,JR,RB,14.0,347.0,1823.0,5.3,28.0,50.0,535.0,10.7,4.0,397.0,2358.0,5.9,32.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jay-ajayi-1.html,Career,Boise State,,,,,678.0,3796.0,5.6,50.0,73.0,771.0,10.6,5.0,751.0,4567.0,6.1,55.0,1.0,16.0,16.0,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kwon-alexander-1.html,*2012,LSU,SEC,FR,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,12.0,1.0,0.0,,,,,1.0,1.0,15.0,0.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kwon-alexander-1.html,*2013,LSU,SEC,SO,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,35.0,65.0,6.5,0.0,0.0,0.0,,0.0,3.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kwon-alexander-1.html,*2014,LSU,SEC,JR,LB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,50.0,90.0,7.5,1.5,0.0,0.0,,0.0,1.0,0.0,,,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kwon-alexander-1.html,Career,LSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,89.0,167.0,15.0,1.5,0.0,0.0,,0.0,5.0,1.0,15.0,0.0,3.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mario-alford-1.html,2013,West Virginia,Big 12,JR,WR,9.0,5.0,47.0,9.4,0.0,27.0,552.0,20.4,2.0,32.0,599.0,18.7,2.0,11.0,229.0,20.8,0.0,1.0,-2.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mario-alford-1.html,*2014,West Virginia,Big 12,SR,WR,13.0,2.0,14.0,7.0,0.0,65.0,945.0,14.5,11.0,67.0,959.0,14.3,11.0,26.0,743.0,28.6,2.0,2.0,-11.0,-5.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mario-alford-1.html,Career,West Virginia,,,,,7.0,61.0,8.7,0.0,92.0,1497.0,16.3,13.0,99.0,1558.0,15.7,13.0,37.0,972.0,26.3,2.0,3.0,-13.0,-4.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/javorius-allen-1.html,*2012,USC,Pac-12,FR,RB,3.0,6.0,32.0,5.3,0.0,,,,,6.0,32.0,5.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/javorius-allen-1.html,*2013,USC,Pac-12,SO,RB,13.0,135.0,785.0,5.8,14.0,22.0,252.0,11.5,1.0,157.0,1037.0,6.6,15.0,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/javorius-allen-1.html,*2014,USC,Pac-12,JR,RB,13.0,276.0,1489.0,5.4,11.0,41.0,458.0,11.2,1.0,317.0,1947.0,6.1,12.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/javorius-allen-1.html,Career,USC,,,,,417.0,2306.0,5.5,25.0,63.0,710.0,11.3,2.0,480.0,3016.0,6.3,27.0,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-amos-1.html,*2011,Penn State,Big Ten,FR,DB,12.0,,,,,,,,,,,,,8.0,163.0,20.4,0.0,,,,,,,,,,,,,,9.0,4.0,13.0,0.0,0.0,1.0,46.0,46.0,0.0,4.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-amos-1.html,2012,Penn State,Big Ten,SO,DB,12.0,,,,,,,,,,,,,4.0,73.0,18.3,0.0,,,,,,,,,,,,,,31.0,13.0,44.0,2.5,0.5,2.0,54.0,27.0,0.0,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-amos-1.html,2013,Penn State,Big Ten,JR,S,11.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,32.0,18.0,50.0,4.0,2.5,1.0,0.0,0.0,0.0,5.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-amos-1.html,*2014,Penn State,Big Ten,SR,S,13.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,29.0,12.0,41.0,2.5,0.0,3.0,35.0,11.7,0.0,6.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-amos-1.html,Career,Penn State,,,,,,,,,,,,,,,,,12.0,236.0,19.7,0.0,0.0,0.0,,0.0,,,,,,,,,,101.0,47.0,148.0,9.0,3.0,7.0,135.0,19.3,0.0,15.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rory-anderson-1.html,*2011,South Carolina,SEC,FR,TE,13.0,,,,,8.0,188.0,23.5,3.0,8.0,188.0,23.5,3.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rory-anderson-1.html,*2012,South Carolina,SEC,SO,TE,13.0,,,,,14.0,271.0,19.4,5.0,14.0,271.0,19.4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rory-anderson-1.html,*2013,South Carolina,SEC,JR,TE,9.0,0.0,0.0,,0.0,17.0,235.0,13.8,0.0,17.0,235.0,13.8,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rory-anderson-1.html,*2014,South Carolina,SEC,SR,TE,8.0,0.0,0.0,,0.0,22.0,260.0,11.8,1.0,22.0,260.0,11.8,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rory-anderson-1.html,Career,South Carolina,,,,,0.0,0.0,,0.0,61.0,954.0,15.6,9.0,61.0,954.0,15.6,9.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-anderson-1.html,*2011,Stanford,Pac-12,SO,DL,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-anderson-1.html,*2012,Stanford,Pac-12,JR,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,24.0,51.0,13.0,5.5,,,,,5.0,0.0,0.0,0.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-anderson-1.html,*2013,Stanford,Pac-12,SR,DE,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,19.0,3.5,3.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-anderson-1.html,*2014,Stanford,Pac-12,,DE,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,25.0,65.0,14.5,8.0,0.0,0.0,,0.0,2.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-anderson-1.html,Career,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,64.0,141.0,31.0,16.5,0.0,0.0,,0.0,8.0,1.0,0.0,0.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dres-anderson-1.html,*2011,Utah,Pac-12,FR,WR,13.0,2.0,24.0,12.0,0.0,23.0,355.0,15.4,3.0,25.0,379.0,15.2,3.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dres-anderson-1.html,2012,Utah,Pac-12,SO,WR,12.0,14.0,83.0,5.9,0.0,36.0,365.0,10.1,3.0,50.0,448.0,9.0,3.0,1.0,19.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dres-anderson-1.html,2013,Utah,Pac-12,JR,WR,12.0,8.0,30.0,3.8,1.0,53.0,1002.0,18.9,7.0,61.0,1032.0,16.9,8.0,11.0,232.0,21.1,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dres-anderson-1.html,*2014,Utah,Pac-12,SR,WR,6.0,1.0,6.0,6.0,0.0,22.0,355.0,16.1,4.0,23.0,361.0,15.7,4.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dres-anderson-1.html,Career,Utah,,,,,25.0,143.0,5.7,1.0,134.0,2077.0,15.5,17.0,159.0,2220.0,14.0,18.0,12.0,251.0,20.9,0.0,0.0,0.0,,0.0,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/stephone-anthony-1.html,*2011,Clemson,ACC,FR,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,11.0,31.0,5.0,2.0,0.0,0.0,,0.0,1.0,0.0,,,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/stephone-anthony-1.html,*2012,Clemson,ACC,SO,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,32.0,63.0,4.5,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/stephone-anthony-1.html,*2013,Clemson,ACC,JR,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,31.0,86.0,15.0,4.5,1.0,0.0,0.0,0.0,3.0,0.0,,,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/stephone-anthony-1.html,*2014,Clemson,ACC,SR,LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,27.0,74.0,10.0,2.0,1.0,8.0,8.0,0.0,3.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/stephone-anthony-1.html,Career,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,101.0,254.0,34.5,9.5,3.0,8.0,2.7,0.0,7.0,0.0,,,5.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/arik-armstead-1.html,*2012,Oregon,Pac-12,FR,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,15.0,26.0,2.0,0.5,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/arik-armstead-1.html,*2013,Oregon,Pac-12,SO,DL,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,15.0,3.0,1.0,0.0,0.0,,0.0,2.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/arik-armstead-1.html,*2014,Oregon,Pac-12,JR,DL,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,21.0,46.0,5.5,2.5,0.0,0.0,,0.0,0.0,2.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/arik-armstead-1.html,Career,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,45.0,87.0,10.5,4.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cameron-artis-payne-1.html,*2013,Auburn,SEC,JR,RB,13.0,91.0,610.0,6.7,6.0,1.0,4.0,4.0,0.0,92.0,614.0,6.7,6.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cameron-artis-payne-1.html,*2014,Auburn,SEC,SR,RB,13.0,303.0,1608.0,5.3,13.0,13.0,147.0,11.3,0.0,316.0,1755.0,5.6,13.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cameron-artis-payne-1.html,Career,Auburn,,,,,394.0,2218.0,5.6,19.0,14.0,151.0,10.8,0.0,408.0,2369.0,5.8,19.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/neiron-ball-1.html,*2010,Florida,SEC,FR,LB,13.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,7.0,10.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/neiron-ball-1.html,*2012,Florida,SEC,SO,LB,11.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,5.0,5.0,10.0,0.5,0.0,1.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/neiron-ball-1.html,2013,Florida,SEC,JR,LB,10.0,0.0,0.0,,0.0,1.0,14.0,14.0,0.0,1.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,13.0,12.0,25.0,1.5,1.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/neiron-ball-1.html,*2014,Florida,SEC,SR,LB,9.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,16.0,33.0,49.0,3.0,2.0,0.0,0.0,,0.0,1.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/neiron-ball-1.html,Career,Florida,,,,,0.0,0.0,,0.0,1.0,14.0,14.0,0.0,1.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,37.0,57.0,94.0,5.5,3.0,1.0,5.0,5.0,0.0,2.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tavaris-barnes-1.html,*2011,Clemson,ACC,FR,DL,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tavaris-barnes-1.html,*2012,Clemson,ACC,SO,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0,18.0,2.5,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tavaris-barnes-1.html,*2013,Clemson,ACC,JR,DE,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,9.0,2.0,1.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tavaris-barnes-1.html,*2014,Clemson,ACC,SR,DE,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,13.0,4.5,3.0,0.0,0.0,,0.0,1.0,0.0,,,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tavaris-barnes-1.html,Career,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,20.0,46.0,9.0,5.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vic-beasley-1.html,*2011,Clemson,ACC,FR,DL,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vic-beasley-1.html,*2012,Clemson,ACC,SO,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,14.0,8.0,8.0,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vic-beasley-1.html,*2013,Clemson,ACC,JR,DE,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,9.0,40.0,22.5,13.0,0.0,0.0,,0.0,5.0,1.0,,,4.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vic-beasley-1.html,*2014,Clemson,ACC,SR,DE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,5.0,28.0,17.5,9.0,0.0,0.0,,0.0,2.0,1.0,16.0,1.0,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vic-beasley-1.html,Career,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,16.0,83.0,48.0,30.0,0.0,0.0,,0.0,7.0,2.0,16.0,1.0,7.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-bell-2.html,*2011,Nebraska,Big Ten,FR,WR,13.0,3.0,100.0,33.3,1.0,32.0,461.0,14.4,3.0,35.0,561.0,16.0,4.0,6.0,152.0,25.3,0.0,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,0.0,1.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-bell-2.html,*2012,Nebraska,Big Ten,SO,WR,14.0,2.0,8.0,4.0,0.0,50.0,863.0,17.3,8.0,52.0,871.0,16.8,8.0,14.0,325.0,23.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,3.0,1.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-bell-2.html,*2013,Nebraska,Big Ten,JR,WR,13.0,1.0,1.0,1.0,0.0,52.0,577.0,11.1,4.0,53.0,578.0,10.9,4.0,23.0,609.0,26.5,1.0,0.0,0.0,,0.0,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-bell-2.html,2014,Nebraska,Big Ten,SR,WR,13.0,0.0,0.0,,0.0,47.0,788.0,16.8,6.0,47.0,788.0,16.8,6.0,8.0,191.0,23.9,0.0,2.0,5.0,2.5,0.0,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-bell-2.html,Career,Nebraska,,,,,6.0,109.0,18.2,1.0,181.0,2689.0,14.9,21.0,187.0,2798.0,15.0,22.0,51.0,1277.0,25.0,1.0,3.0,5.0,1.7,0.0,,,,,,,,,,7.0,3.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/blake-bell-1.html,*2011,Oklahoma,Big 12,FR,QB,7.0,44.0,171.0,3.9,13.0,,,,,44.0,171.0,3.9,13.0,,,,,,,,,1.0,4.0,25.0,8.0,2.0,-9.3,0.0,1.0,-8.2,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/blake-bell-1.html,*2012,Oklahoma,Big 12,SO,QB,13.0,60.0,201.0,3.4,11.0,,,,,60.0,201.0,3.4,11.0,,,,,,,,,9.0,16.0,56.3,107.0,6.7,6.7,0.0,0.0,112.4,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/blake-bell-1.html,*2013,Oklahoma,Big 12,JR,QB,11.0,75.0,255.0,3.4,0.0,0.0,0.0,,0.0,75.0,255.0,3.4,0.0,,,,,,,,,140.0,233.0,60.1,1648.0,7.1,7.1,12.0,5.0,132.2,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/blake-bell-1.html,*2014,Oklahoma,Big 12,SR,TE,9.0,2.0,4.0,2.0,0.0,16.0,214.0,13.4,4.0,18.0,218.0,12.1,4.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/blake-bell-1.html,Career,Oklahoma,,,,,181.0,631.0,3.5,24.0,16.0,214.0,13.4,4.0,197.0,845.0,4.3,28.0,,,,,,,,,150.0,253.0,59.3,1763.0,7.0,6.8,12.0,6.0,128.7,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/michael-bennett-5.html,*2011,Ohio State,Big Ten,FR,DL,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,4.0,17.0,5.0,3.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/michael-bennett-5.html,2012,Ohio State,Big Ten,SO,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,11.0,1.0,1.0,,,,,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/michael-bennett-5.html,*2013,Ohio State,Big Ten,JR,DL,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,24.0,42.0,11.5,7.0,0.0,0.0,,0.0,0.0,2.0,,,3.0,,,,,,,,,,
